,fname,label
38,foo.wav_split_5,BACKGROUND_NOISE
39,WSU_P2_LOADED_up_and_down copy.wav_split_2,P2_LOADED
40,in_air_iris_over_home_base.wav_split_40,BACKGROUND_NOISE
41,P1_up_and_down.wav_split_33,P1
42,in_air_iris_over_home_base.wav_split_1,BACKGROUND_NOISE
43,background_06_02_01.wav_split_38,BACKGROUND_NOISE
44,WSU_P2_LOADED_up_and_down copy 2.wav_split_3,P2_LOADED
45,train.wav_split_18,BACKGROUND_NOISE
46,in_air_iris_far_away.wav_split_30,BACKGROUND_NOISE
47,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_31,P2_UNLOADED
48,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_40,P2_UNLOADED
49,background_06_02_03.wav_split_29,BACKGROUND_NOISE
50,train.wav_split_20,BACKGROUND_NOISE
51,foo.wav_split_2,BACKGROUND_NOISE
52,purdue_P2_unloaded_up_down copy.wav_split_3,P2_UNLOADED
53,WSU_P2_DOWN_UNLOADED.wav_split_17,P2_UNLOADED
54,background_06_02_03.wav_split_11,BACKGROUND_NOISE
55,P1_stationary.wav_split_35,P1
56,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_35,P2_UNLOADED
57,WSU_P2_LOADED_up_and_down.wav_split_32,P2_LOADED
58,background_06_02_04.wav_split_16,BACKGROUND_NOISE
59,WSU_P2_DOWN_UNLOADED.wav_split_28,P2_UNLOADED
60,in_air_iris_far_away.wav_split_37,BACKGROUND_NOISE
61,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_36,P2_UNLOADED
62,WSU_P2_LOADED_up_and_down copy 2.wav_split_4,P2_LOADED
63,background_06_02_04.wav_split_29,BACKGROUND_NOISE
64,background_06_02_01.wav_split_8,BACKGROUND_NOISE
65,in_air_iris_over_home_base.wav_split_6,BACKGROUND_NOISE
66,WSU_P2_LOADED_up_and_down copy.wav_split_5,P2_LOADED
67,P1_up_and_down.wav_split_34,P1
68,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_13,P2_UNLOADED
69,purdue_P2_unloaded_up_down copy 2.wav_split_22,P2_UNLOADED
70,background_in_air_iris_2.wav_split_30,BACKGROUND_NOISE
71,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_35,P2_LOADED
72,background_eric_doing_stuff.wav_split_20,BACKGROUND_NOISE
73,purrdue_P2_standing copy.wav_split_3,P2
74,in_air_iris_over_home_base.wav_split_13,BACKGROUND_NOISE
75,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_32,P2_UNLOADED
76,canopy_up_01.wav_split_20,BACKGROUND_NOISE
77,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_2,P2_LOADED
78,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_8,P2_UNLOADED
79,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_35,P2_UNLOADED
80,in_air_iris_over_home_base.wav_split_14,BACKGROUND_NOISE
81,background_eric_doing_stuff.wav_split_27,BACKGROUND_NOISE
82,purrdue_P2_standing copy.wav_split_4,P2
83,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_32,P2_LOADED
84,background_in_air_iris_2.wav_split_37,BACKGROUND_NOISE
85,canopy_up_01.wav_split_18,BACKGROUND_NOISE
86,purdue_P2_unloaded_up_down copy 2.wav_split_25,P2_UNLOADED
87,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_14,P2_UNLOADED
88,background_eric_doing_stuff.wav_split_18,BACKGROUND_NOISE
89,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_5,P2_LOADED
90,canopy_up_01.wav_split_27,BACKGROUND_NOISE
91,background_eric_doing_stuff.wav_split_11,BACKGROUND_NOISE
92,WSU_P2_DOWN_UNLOADED copy 2.wav_split_35,P2_UNLOADED
93,WSU_P2_LOADED_up_and_down.wav_split_2,P2_LOADED
94,in_air_iris_over_home_base.wav_split_22,BACKGROUND_NOISE
95,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_6,P2_UNLOADED
96,purdue_P2_unloaded_up_down copy 2.wav_split_13,P2_UNLOADED
97,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_22,P2_UNLOADED
98,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_32,P2_LOADED
99,canopy_up_01.wav_split_11,BACKGROUND_NOISE
100,canopy_up_01.wav_split_29,BACKGROUND_NOISE
101,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_35,P2_LOADED
102,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_25,P2_UNLOADED
103,purdue_P2_unloaded_up_down copy 2.wav_split_14,P2_UNLOADED
104,in_air_iris_over_home_base.wav_split_25,BACKGROUND_NOISE
105,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_1,P2_UNLOADED
106,WSU_P2_LOADED_up_and_down.wav_split_5,P2_LOADED
107,WSU_P2_DOWN_UNLOADED copy 2.wav_split_32,P2_UNLOADED
108,background_eric_doing_stuff.wav_split_16,BACKGROUND_NOISE
109,canopy_up_01.wav_split_16,BACKGROUND_NOISE
110,background_in_air_iris_2.wav_split_39,BACKGROUND_NOISE
111,background_eric_doing_stuff.wav_split_29,BACKGROUND_NOISE
112,background_06_02_04.wav_split_17,BACKGROUND_NOISE
113,WSU_P2_LOADED_up_and_down.wav_split_33,P2_LOADED
114,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_34,P2_UNLOADED
115,P1_stationary.wav_split_34,P1
116,purdue_P2_unloaded_up_down copy.wav_split_2,P2_UNLOADED
117,train.wav_split_21,BACKGROUND_NOISE
118,foo.wav_split_3,BACKGROUND_NOISE
119,background_06_02_03.wav_split_10,BACKGROUND_NOISE
120,WSU_P2_DOWN_UNLOADED.wav_split_16,P2_UNLOADED
121,P1_up_and_down.wav_split_35,P1
122,WSU_P2_LOADED_up_and_down copy.wav_split_4,P2_LOADED
123,in_air_iris_over_home_base.wav_split_7,BACKGROUND_NOISE
124,background_06_02_01.wav_split_9,BACKGROUND_NOISE
125,background_06_02_04.wav_split_28,BACKGROUND_NOISE
126,WSU_P2_DOWN_UNLOADED.wav_split_29,P2_UNLOADED
127,WSU_P2_LOADED_up_and_down copy 2.wav_split_5,P2_LOADED
128,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_37,P2_UNLOADED
129,in_air_iris_far_away.wav_split_36,BACKGROUND_NOISE
130,WSU_P2_DOWN_UNLOADED.wav_split_11,P2_UNLOADED
131,background_06_02_03.wav_split_17,BACKGROUND_NOISE
132,train.wav_split_26,BACKGROUND_NOISE
133,foo.wav_split_4,BACKGROUND_NOISE
134,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_8,P2_LOADED
135,purdue_P2_unloaded_up_down copy.wav_split_5,P2_UNLOADED
136,WSU_P2_LOADED_up_and_down.wav_split_34,P2_LOADED
137,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_33,P2_UNLOADED
138,P1_stationary.wav_split_33,P1
139,background_06_02_04.wav_split_10,BACKGROUND_NOISE
140,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_30,P2_UNLOADED
141,in_air_iris_far_away.wav_split_31,BACKGROUND_NOISE
142,background_06_02_01.wav_split_39,BACKGROUND_NOISE
143,WSU_P2_LOADED_up_and_down copy 2.wav_split_2,P2_LOADED
144,train.wav_split_19,BACKGROUND_NOISE
145,background_06_02_03.wav_split_28,BACKGROUND_NOISE
146,P1_up_and_down.wav_split_32,P1
147,WSU_P2_LOADED_up_and_down copy.wav_split_3,P2_LOADED
148,background_06_02_01.wav_split_30,BACKGROUND_NOISE
149,train.wav_split_10,BACKGROUND_NOISE
150,WSU_P2_UNLOADED_BACK_AND_FORTH copy.wav_split_39,P2_UNLOADED
151,in_air_iris_far_away.wav_split_38,BACKGROUND_NOISE
152,WSU_P2_DOWN_UNLOADED.wav_split_27,P2_UNLOADED
153,background_06_02_03.wav_split_21,BACKGROUND_NOISE
154,in_air_iris_over_home_base.wav_split_9,BACKGROUND_NOISE
155,background_06_02_04.wav_split_26,BACKGROUND_NOISE
156,background_06_02_01.wav_split_7,BACKGROUND_NOISE
157,WSU_P2_DOWN_UNLOADED.wav_split_18,P2_UNLOADED
158,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_1,P2_LOADED
159,canopy_up_01.wav_split_2,BACKGROUND_NOISE
160,gator.wav_split_32,BACKGROUND_NOISE
161,background_06_02_04.wav_split_19,BACKGROUND_NOISE
162,background_in_air_iris.wav_split_32,BACKGROUND_NOISE
163,P1_stationary copy.wav_split_34,P1
164,background_06_02_04.wav_split_21,BACKGROUND_NOISE
165,background_06_02_03.wav_split_26,BACKGROUND_NOISE
166,WSU_P2_DOWN_UNLOADED.wav_split_20,P2_UNLOADED
167,background_06_02_01.wav_split_37,BACKGROUND_NOISE
168,train.wav_split_17,BACKGROUND_NOISE
169,background_in_air_iris.wav_split_35,BACKGROUND_NOISE
170,P1_stationary copy.wav_split_33,P1
171,gator.wav_split_35,BACKGROUND_NOISE
172,train.wav_split_28,BACKGROUND_NOISE
173,canopy_up_01.wav_split_5,BACKGROUND_NOISE
174,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_6,P2_LOADED
175,background_06_02_03.wav_split_19,BACKGROUND_NOISE
176,WSU_P2_DOWN_UNLOADED copy 2.wav_split_33,P2_UNLOADED
177,WSU_P2_LOADED_up_and_down.wav_split_4,P2_LOADED
178,in_air_iris_over_home_base.wav_split_24,BACKGROUND_NOISE
179,background_eric_doing_stuff.wav_split_17,BACKGROUND_NOISE
180,canopy_up_01.wav_split_28,BACKGROUND_NOISE
181,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_34,P2_LOADED
182,purdue_P2_unloaded_up_down copy 2.wav_split_15,P2_UNLOADED
183,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_24,P2_UNLOADED
184,background_eric_doing_stuff.wav_split_28,BACKGROUND_NOISE
185,canopy_up_01.wav_split_17,BACKGROUND_NOISE
186,background_in_air_iris_2.wav_split_38,BACKGROUND_NOISE
187,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_23,P2_UNLOADED
188,purdue_P2_unloaded_up_down copy 2.wav_split_12,P2_UNLOADED
189,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_33,P2_LOADED
190,background_eric_doing_stuff.wav_split_10,BACKGROUND_NOISE
191,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_7,P2_UNLOADED
192,in_air_iris_over_home_base.wav_split_23,BACKGROUND_NOISE
193,WSU_P2_LOADED_up_and_down.wav_split_3,P2_LOADED
194,WSU_P2_DOWN_UNLOADED copy 2.wav_split_34,P2_UNLOADED
195,canopy_up_01.wav_split_10,BACKGROUND_NOISE
196,background_in_air_iris_2.wav_split_36,BACKGROUND_NOISE
197,canopy_up_01.wav_split_19,BACKGROUND_NOISE
198,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_33,P2_LOADED
199,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_15,P2_UNLOADED
200,purdue_P2_unloaded_up_down copy 2.wav_split_24,P2_UNLOADED
201,in_air_iris_over_home_base.wav_split_15,BACKGROUND_NOISE
202,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_34,P2_UNLOADED
203,background_eric_doing_stuff.wav_split_26,BACKGROUND_NOISE
204,purrdue_P2_standing copy.wav_split_5,P2
205,canopy_up_01.wav_split_26,BACKGROUND_NOISE
206,background_eric_doing_stuff.wav_split_19,BACKGROUND_NOISE
207,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_4,P2_LOADED
208,background_eric_doing_stuff.wav_split_21,BACKGROUND_NOISE
209,purrdue_P2_standing copy.wav_split_2,P2
210,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_33,P2_UNLOADED
211,in_air_iris_over_home_base.wav_split_12,BACKGROUND_NOISE
212,purdue_P2_unloaded_up_down copy 2.wav_split_23,P2_UNLOADED
213,WSU_P2_UNLOADED_BACK_AND_FORTH.wav_split_12,P2_UNLOADED
214,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_34,P2_LOADED
215,background_in_air_iris_2.wav_split_31,BACKGROUND_NOISE
216,WSU_P2_UNLOADED_UP_AND_DOWN.wav_split_9,P2_UNLOADED
217,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_3,P2_LOADED
218,canopy_up_01.wav_split_21,BACKGROUND_NOISE
219,canopy_heavy_wind.wav_split_23,BACKGROUND_NOISE
220,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_16,P2_LOADED
221,purrdue_P2_standing copy 2.wav_split_38,P2
222,purdue_P2_unloaded_up_down copy 2.wav_split_8,P2_UNLOADED
223,purdue_P2_unloaded_up_down.wav_split_32,P2_UNLOADED
224,train.wav_split_2,BACKGROUND_NOISE
225,WSU_P2_LOADED_up_and_down copy.wav_split_38,P2_LOADED
226,P1_up_and_down copy 2.wav_split_27,P1
227,WSU_P2_LOADED_up_and_down copy 2.wav_split_20,P2_LOADED
228,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_29,P2_LOADED
229,train2.wav_split_13,BACKGROUND_NOISE
230,purdue_P2_unloaded_up_down copy.wav_split_25,P2_UNLOADED
231,in_air_iris_far_away.wav_split_9,BACKGROUND_NOISE
232,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_11,P2_LOADED
233,background_in_air_iris_3.wav_split_37,BACKGROUND_NOISE
234,P1_up_and_down copy 2.wav_split_18,P1
235,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_11,P2_UNLOADED
236,WSU_P2_LOADED_up_and_down copy 2.wav_split_27,P2_LOADED
237,P1_up_and_down copy 2.wav_split_20,P1
238,purdue_P2_unloaded_up_down.wav_split_35,P2_UNLOADED
239,train.wav_split_5,BACKGROUND_NOISE
240,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_29,P2_UNLOADED
241,WSU_P2_DOWN_UNLOADED copy.wav_split_39,P2_UNLOADED
242,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_11,P2_LOADED
243,canopy_heavy_wind.wav_split_24,BACKGROUND_NOISE
244,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_29,P2_LOADED
245,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_8,P2_LOADED
246,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_16,P2_UNLOADED
247,background_in_air_iris_3.wav_split_30,BACKGROUND_NOISE
248,WSU_P2_LOADED_up_and_down copy 2.wav_split_18,P2_LOADED
249,background_06_02_04.wav_split_7,BACKGROUND_NOISE
250,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_16,P2_LOADED
251,train2.wav_split_14,BACKGROUND_NOISE
252,purdue_P2_unloaded_up_down copy.wav_split_22,P2_UNLOADED
253,background_in_air_iris_3.wav_split_39,BACKGROUND_NOISE
254,P1_up_and_down copy 2.wav_split_16,P1
255,WSU_P2_LOADED_up_and_down copy 2.wav_split_11,P2_LOADED
256,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_27,P2_LOADED
257,in_air_iris_far_away.wav_split_7,BACKGROUND_NOISE
258,canopy_heavy_wind.wav_split_12,BACKGROUND_NOISE
259,purrdue_P2_standing copy.wav_split_33,P2
260,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_2,P2_LOADED
261,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_20,P2_UNLOADED
262,P1_up_and_down copy 2.wav_split_29,P1
263,WSU_P2_LOADED_up_and_down copy.wav_split_36,P2_LOADED
264,purrdue_P2_standing copy 2.wav_split_36,P2
265,purdue_P2_unloaded_up_down copy 2.wav_split_6,P2_UNLOADED
266,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_1,P2_LOADED
267,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_20,P2_LOADED
268,WSU_P2_DOWN_UNLOADED copy.wav_split_30,P2_UNLOADED
269,purdue_P2_unloaded_up_down copy.wav_split_14,P2_UNLOADED
270,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_18,P2_LOADED
271,train2.wav_split_22,BACKGROUND_NOISE
272,background_06_02_04.wav_split_9,BACKGROUND_NOISE
273,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_18,P2_LOADED
274,canopy_heavy_wind.wav_split_15,BACKGROUND_NOISE
275,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_20,P2_LOADED
276,WSU_P2_LOADED_up_and_down copy 2.wav_split_16,P2_LOADED
277,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_18,P2_UNLOADED
278,P1_up_and_down copy 2.wav_split_11,P1
279,WSU_P2_DOWN_UNLOADED copy.wav_split_37,P2_UNLOADED
280,purdue_P2_unloaded_up_down copy.wav_split_13,P2_UNLOADED
281,train2.wav_split_25,BACKGROUND_NOISE
282,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_6,P2_LOADED
283,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_27,P2_LOADED
284,purrdue_P2_standing copy 2.wav_split_31,P2
285,purdue_P2_unloaded_up_down copy 2.wav_split_1,P2_UNLOADED
286,WSU_P2_LOADED_up_and_down copy.wav_split_31,P2_LOADED
287,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_27,P2_UNLOADED
288,purrdue_P2_standing copy.wav_split_34,P2
289,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_5,P2_LOADED
290,WSU_P2_LOADED_up_and_down copy 2.wav_split_29,P2_LOADED
291,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_12,P2_LOADED
292,P1_up_and_down copy.wav_split_34,P1
293,purrdue_P2_standing.wav_split_31,P2
294,WSU_P2_LOADED_BACK_AND_FORTH copy.wav_split_36,P2_LOADED
295,P1_stationary copy 2.wav_split_26,P1
296,goo2.wav_split_19,BACKGROUND_NOISE
297,P1_stationary copy.wav_split_1,P1
298,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_2,P2_UNLOADED
299,foo.wav_split_33,BACKGROUND_NOISE
300,motorcycle.wav_split_7,BACKGROUND_NOISE
301,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_16,P2_UNLOADED
302,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_20,P2_LOADED
303,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_6,P2_UNLOADED
304,WSU_P2_HIGH_LOADED_DOWN copy.wav_split_32,P2_LOADED
305,P1_stationary copy 2.wav_split_19,P1
306,goo2.wav_split_26,BACKGROUND_NOISE
307,eric_survey.wav_split_39,BACKGROUND_NOISE
308,background_06_02_02.wav_split_20,BACKGROUND_NOISE
309,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_29,P2_UNLOADED
310,motorcycle.wav_split_38,BACKGROUND_NOISE
311,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_27,P2_LOADED
312,background_06_02_02.wav_split_18,BACKGROUND_NOISE
313,WSU_P2_UNLOADED_BACK_AND_FORTH copy 2.wav_split_5,P2_UNLOADED
314,foo.wav_split_34,BACKGROUND_NOISE
315,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_11,P2_UNLOADED
316,P1_stationary copy.wav_split_6,P1
317,P1_stationary copy 2.wav_split_21,P1
318,purrdue_P2_standing.wav_split_36,P2
319,WSU_P2_LOADED_BACK_AND_FORTH copy.wav_split_31,P2_LOADED
320,purdue_P2_unloaded_up_down copy.wav_split_40,P2_UNLOADED
321,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_15,P2_LOADED
322,P1_up_and_down copy.wav_split_33,P1
323,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_18,P2_LOADED
324,background_06_02_02.wav_split_27,BACKGROUND_NOISE
325,WSU_P2_DOWN_UNLOADED copy 2.wav_split_9,P2_UNLOADED
326,canopy_heavy_wind.wav_split_9,BACKGROUND_NOISE
327,goo2.wav_split_21,BACKGROUND_NOISE
328,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_1,P2_UNLOADED
329,WSU_P2_HIGH_LOADED_DOWN copy.wav_split_35,P2_LOADED
330,P1_up_and_down copy 2.wav_split_4,P1
331,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_27,P2_UNLOADED
332,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_3,P2_LOADED
333,motorcycle.wav_split_36,BACKGROUND_NOISE
334,goo2.wav_split_3,BACKGROUND_NOISE
335,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_11,P2_LOADED
336,train2.wav_split_40,BACKGROUND_NOISE
337,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_23,P2_LOADED
338,eric_survey.wav_split_37,BACKGROUND_NOISE
339,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_8,P2_UNLOADED
340,goo2.wav_split_28,BACKGROUND_NOISE
341,P1_stationary copy 2.wav_split_17,P1
342,background_06_02_02.wav_split_11,BACKGROUND_NOISE
343,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_18,P2_UNLOADED
344,motorcycle.wav_split_9,BACKGROUND_NOISE
345,goo2.wav_split_17,BACKGROUND_NOISE
346,P1_stationary copy 2.wav_split_28,P1
347,WSU_P2_LOADED_BACK_AND_FORTH copy.wav_split_38,P2_LOADED
348,WSU_P2_HIGH_LOADED_DOWN.wav_split_33,P2_LOADED
349,canopy_heavy_wind.wav_split_7,BACKGROUND_NOISE
350,P1_stationary copy 2.wav_split_10,P1
351,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_24,P2_LOADED
352,eric_survey.wav_split_30,BACKGROUND_NOISE
353,WSU_P2_DOWN_UNLOADED copy 2.wav_split_7,P2_UNLOADED
354,background_06_02_02.wav_split_29,BACKGROUND_NOISE
355,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_16,P2_LOADED
356,goo2.wav_split_4,BACKGROUND_NOISE
357,WSU_P2_LOADED_BACK_AND_FORTH_2.wav_split_4,P2_LOADED
358,motorcycle.wav_split_31,BACKGROUND_NOISE
359,P1_up_and_down copy 2.wav_split_3,P1
360,WSU_P2_UNLOADED_UP_AND_DOWN copy.wav_split_20,P2_UNLOADED
361,purrdue_P2_standing.wav_split_38,P2
362,WSU_P2_HIGH_LOADED_DOWN.wav_split_34,P2_LOADED
363,P1_stationary copy.wav_split_8,P1
364,goo2.wav_split_10,BACKGROUND_NOISE
365,background_06_02_02.wav_split_16,BACKGROUND_NOISE
366,WSU_P2_LOADED_BACK_AND_FORTH_2 copy.wav_split_29,P2_LOADED
367,WSU_P2_LOADED_up_and_down copy 2.wav_split_17,P2_LOADED
368,P1_up_and_down copy 2.wav_split_10,P1
369,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_19,P2_UNLOADED
370,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_21,P2_LOADED
371,background_06_02_04.wav_split_8,BACKGROUND_NOISE
372,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_19,P2_LOADED
373,in_air_iris_far_away.wav_split_1,BACKGROUND_NOISE
374,canopy_heavy_wind.wav_split_14,BACKGROUND_NOISE
375,WSU_P2_UNLOADED_UP_AND_DOWN copy 2.wav_split_26,P2_UNLOADED
376,WSU_P2_LOADED_up_and_down copy.wav_split_30,P2_LOADED
377,WSU_P2_LOADED_up_and_down copy 2.wav_split_28,P2_LOADED
378,purrdue_P2_standing copy.wav_split_35,P2
379,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_4,P2_LOADED
380,WSU_P2_LOADED_BACK_AND_FORTH copy 2.wav_split_7,P2_LOADED
381,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_26,P2_LOADED
382,WSU_P2_DOWN_UNLOADED copy.wav_split_36,P2_UNLOADED
383,purdue_P2_unloaded_up_down copy.wav_split_12,P2_UNLOADED
384,train2.wav_split_24,BACKGROUND_NOISE
385,purrdue_P2_standing copy 2.wav_split_30,P2
386,in_air_iris_far_away.wav_split_6,BACKGROUND_NOISE
387,canopy_heavy_wind.wav_split_13,BACKGROUND_NOISE
388,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_26,P2_LOADED
389,background_in_air_iris_3.wav_split_38,BACKGROUND_NOISE
390,P1_up_and_down copy 2.wav_split_17,P1
391,WSU_P2_LOADED_up_and_down copy 2.wav_split_10,P2_LOADED
392,purrdue_P2_standing copy 2.wav_split_37,P2
393,purdue_P2_unloaded_up_down copy 2.wav_split_7,P2_UNLOADED
394,WSU_P2_DOWN_UNLOADED copy.wav_split_31,P2_UNLOADED
395,purdue_P2_unloaded_up_down copy.wav_split_15,P2_UNLOADED
396,train2.wav_split_23,BACKGROUND_NOISE
397,WSU_P2_HIGH_LOADED_DOWN copy 2.wav_split_19,P2_LOADED
398,WSU_P2_LOADED_BACK_AND_FORTH.wav_split_40,P2_LOADED
399,WSU_P2_LOADED_BACK_AND_FORTH_2 copy 2.wav_split_21,P2_LOADED
400,purrdue_P2_standing copy.wav_split_32,P2
